Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
AUT1,Tipico Bundesliga,2012/2013,2013-02-27,19:30,Wacker Innsbruck,Neustadt,1,0,H,2.02,3.36,4.26,2.1,3.5,4.26,2.01,3.28,3.66
AUT1,Tipico Bundesliga,2012/2013,2013-03-02,15:00,Sturm Graz,Admira,1,2,A,1.73,3.86,5.3,1.73,4.15,6.1,1.62,3.74,5.28
AUT1,Tipico Bundesliga,2012/2013,2013-03-02,17:30,Austria Vienna,Wacker Innsbruck,4,0,H,1.33,5.65,10.4,1.34,6.0,11.0,1.28,5.33,9.66
AUT1,Tipico Bundesliga,2012/2013,2013-03-02,17:30,Mattersburg,Ried,1,0,H,3.14,3.2,2.52,3.14,3.35,2.6,2.92,3.17,2.41
AUT1,Tipico Bundesliga,2012/2013,2013-03-02,17:30,Salzburg,Neustadt,3,1,H,1.22,7.2,14.4,1.23,8.19,15.86,1.2,6.45,12.05
AUT1,Tipico Bundesliga,2012/2013,2013-03-03,15:00,Wolfsberger AC,Rapid Vienna,2,1,H,3.63,3.43,2.18,3.95,3.43,2.25,3.5,3.29,2.05
AUT1,Tipico Bundesliga,2012/2013,2013-03-06,17:30,Wolfsberger AC,Salzburg,1,1,D,5.27,3.85,1.74,5.5,4.0,1.74,5.02,3.74,1.64
AUT1,Tipico Bundesliga,2012/2013,2013-03-09,15:00,Neustadt,Austria Vienna,0,0,D,6.25,4.15,1.6,6.7,4.45,1.62,5.9,3.89,1.55
AUT1,Tipico Bundesliga,2012/2013,2013-03-09,17:30,Admira,Wolfsberger AC,0,1,A,2.02,3.5,4.07,2.1,3.75,4.07,2.03,3.37,3.46
AUT1,Tipico Bundesliga,2012/2013,2013-03-09,17:30,Rapid Vienna,Mattersburg,2,2,D,1.46,4.65,7.95,1.46,4.9,8.19,1.42,4.31,7.36
AUT1,Tipico Bundesliga,2012/2013,2013-03-09,17:30,Ried,Sturm Graz,1,2,A,2.25,3.24,3.64,2.35,3.4,3.64,2.18,3.23,3.26
AUT1,Tipico Bundesliga,2012/2013,2013-03-10,15:00,Wacker Innsbruck,Salzburg,2,3,A,5.82,3.92,1.67,6.0,4.0,1.7,5.36,3.81,1.6
AUT1,Tipico Bundesliga,2012/2013,2013-03-13,17:30,Wolfsberger AC,Mattersburg,1,0,H,1.98,3.78,3.92,2.12,3.78,4.0,1.97,3.35,3.73
AUT1,Tipico Bundesliga,2012/2013,2013-03-13,17:30,Admira,Salzburg,1,1,D,5.84,4.28,1.61,6.1,4.45,1.62,5.3,3.98,1.58
AUT1,Tipico Bundesliga,2012/2013,2013-03-16,15:00,Rapid Vienna,Admira,1,1,D,1.59,4.47,5.8,1.59,4.75,7.2,1.49,4.2,6.07
AUT1,Tipico Bundesliga,2012/2013,2013-03-16,17:30,Wolfsberger AC,Neustadt,1,1,D,2.02,3.59,3.98,2.02,3.65,4.45,1.89,3.37,3.99
AUT1,Tipico Bundesliga,2012/2013,2013-03-16,17:30,Salzburg,Ried,2,2,D,1.53,4.7,6.3,1.53,4.84,7.5,1.47,4.22,6.48
AUT1,Tipico Bundesliga,2012/2013,2013-03-16,17:30,Sturm Graz,Wacker Innsbruck,3,2,H,1.74,3.72,5.5,1.74,3.95,6.3,1.64,3.62,5.33
AUT1,Tipico Bundesliga,2012/2013,2013-03-17,16:00,Mattersburg,Austria Vienna,0,4,A,4.88,3.93,1.76,5.5,3.93,1.76,4.96,3.65,1.67
AUT1,Tipico Bundesliga,2012/2013,2013-03-30,15:00,Admira,Mattersburg,1,0,H,1.81,3.67,4.98,2.0,3.8,4.98,1.86,3.46,4.08
AUT1,Tipico Bundesliga,2012/2013,2013-03-30,17:30,Neustadt,Sturm Graz,1,0,H,3.15,3.24,2.5,3.3,3.4,2.5,3.09,3.14,2.31
AUT1,Tipico Bundesliga,2012/2013,2013-03-30,17:30,Ried,Rapid Vienna,3,2,H,2.91,3.29,2.64,3.0,3.31,2.75,2.75,3.19,2.51
AUT1,Tipico Bundesliga,2012/2013,2013-03-30,17:30,Wacker Innsbruck,Wolfsberger AC,2,3,A,2.19,3.48,3.55,2.29,3.48,3.55,2.16,3.28,3.23
AUT1,Tipico Bundesliga,2012/2013,2013-03-31,15:00,Austria Vienna,Salzburg,1,1,D,2.06,3.4,4.08,2.4,3.6,4.2,2.07,3.31,3.48
AUT1,Tipico Bundesliga,2012/2013,2013-04-06,15:00,Wacker Innsbruck,Rapid Vienna,1,1,D,3.23,3.32,2.41,3.65,3.4,2.41,3.26,3.25,2.18
AUT1,Tipico Bundesliga,2012/2013,2013-04-06,17:30,Austria Vienna,Wolfsberger AC,0,4,A,1.43,4.86,8.43,1.43,5.4,10.5,1.36,4.58,8.15
AUT1,Tipico Bundesliga,2012/2013,2013-04-06,17:30,Neustadt,Mattersburg,0,0,D,2.08,3.36,4.01,2.2,3.4,4.05,2.04,3.25,3.64
AUT1,Tipico Bundesliga,2012/2013,2013-04-06,17:30,Ried,Admira,4,1,H,1.91,3.63,4.42,1.94,3.75,5.0,1.79,3.56,4.28
AUT1,Tipico Bundesliga,2012/2013,2013-04-07,15:00,Salzburg,Sturm Graz,3,0,H,1.54,4.55,6.45,1.6,4.59,6.9,1.51,4.08,6.07
AUT1,Tipico Bundesliga,2012/2013,2013-04-13,15:00,Wolfsberger AC,Ried,1,3,A,2.2,3.56,3.43,2.29,3.56,3.43,2.19,3.29,3.15
AUT1,Tipico Bundesliga,2012/2013,2013-04-13,17:30,Admira,Wacker Innsbruck,4,3,H,1.96,3.54,4.29,1.99,3.65,4.5,1.92,3.39,3.9
AUT1,Tipico Bundesliga,2012/2013,2013-04-13,17:30,Mattersburg,Salzburg,1,2,A,5.64,4.38,1.61,6.1,4.45,1.7,5.45,3.91,1.58
AUT1,Tipico Bundesliga,2012/2013,2013-04-13,17:30,Rapid Vienna,Neustadt,2,0,H,1.57,4.28,6.37,1.57,4.28,7.0,1.5,4.01,6.48
AUT1,Tipico Bundesliga,2012/2013,2013-04-14,15:00,Sturm Graz,Austria Vienna,1,1,D,3.47,3.42,2.22,3.47,3.45,2.5,3.14,3.28,2.22
AUT1,Tipico Bundesliga,2012/2013,2013-04-20,15:00,Sturm Graz,Mattersburg,2,2,D,1.76,3.76,5.19,1.76,3.9,6.5,1.64,3.7,5.24
AUT1,Tipico Bundesliga,2012/2013,2013-04-20,17:30,Neustadt,Admira,3,0,H,2.99,3.25,2.61,2.99,3.31,2.9,2.64,3.22,2.61
AUT1,Tipico Bundesliga,2012/2013,2013-04-20,17:30,Salzburg,Wolfsberger AC,6,2,H,1.4,5.09,8.9,1.4,5.9,9.0,1.36,4.68,7.9
AUT1,Tipico Bundesliga,2012/2013,2013-04-20,17:30,Wacker Innsbruck,Ried,2,0,H,2.84,3.41,2.63,3.05,3.42,2.65,2.66,3.27,2.56
AUT1,Tipico Bundesliga,2012/2013,2013-04-21,15:00,Austria Vienna,Rapid Vienna,2,2,D,1.89,3.85,4.22,1.94,3.85,5.0,1.78,3.58,4.33
AUT1,Tipico Bundesliga,2012/2013,2013-04-27,15:00,Ried,Neustadt,2,1,H,1.77,3.96,4.82,1.77,4.0,5.5,1.69,3.67,4.86
AUT1,Tipico Bundesliga,2012/2013,2013-04-27,17:30,Wolfsberger AC,Sturm Graz,3,0,H,2.62,3.39,2.87,2.7,3.4,2.92,2.55,3.27,2.65
AUT1,Tipico Bundesliga,2012/2013,2013-04-27,17:30,Mattersburg,Wacker Innsbruck,1,2,A,2.29,3.4,3.37,2.35,3.45,3.45,2.21,3.25,3.18
AUT1,Tipico Bundesliga,2012/2013,2013-04-27,17:30,Rapid Vienna,Salzburg,1,3,A,3.14,3.62,2.31,3.3,3.62,2.4,3.02,3.34,2.26
AUT1,Tipico Bundesliga,2012/2013,2013-04-28,15:00,Admira,Austria Vienna,0,2,A,4.51,4.2,1.77,5.0,4.4,1.85,4.45,3.76,1.72
AUT1,Tipico Bundesliga,2012/2013,2013-05-04,15:00,Austria Vienna,Ried,3,1,H,1.47,4.69,7.51,1.5,5.09,8.0,1.44,4.24,7.09
AUT1,Tipico Bundesliga,2012/2013,2013-05-04,17:30,Mattersburg,Wolfsberger AC,3,1,H,2.71,3.52,2.68,2.71,3.55,2.82,2.56,3.28,2.64
AUT1,Tipico Bundesliga,2012/2013,2013-05-04,17:30,Neustadt,Wacker Innsbruck,2,2,D,2.31,3.39,3.35,2.36,3.39,3.6,2.23,3.21,3.19
AUT1,Tipico Bundesliga,2012/2013,2013-05-04,17:30,Salzburg,Admira,2,1,H,1.21,7.34,15.59,1.25,7.7,16.0,1.2,6.35,12.13
AUT1,Tipico Bundesliga,2012/2013,2013-05-05,15:00,Sturm Graz,Rapid Vienna,1,3,A,2.77,3.4,2.71,2.77,3.4,2.9,2.57,3.22,2.66
AUT1,Tipico Bundesliga,2012/2013,2013-05-11,15:00,Admira,Sturm Graz,3,0,H,2.36,3.55,3.16,2.54,3.6,3.16,2.35,3.34,2.88
AUT1,Tipico Bundesliga,2012/2013,2013-05-11,17:30,Rapid Vienna,Wolfsberger AC,0,0,D,1.7,4.04,5.23,1.73,4.3,5.3,1.68,3.76,4.62
AUT1,Tipico Bundesliga,2012/2013,2013-05-11,17:30,Ried,Mattersburg,1,1,D,1.57,4.42,6.2,1.7,4.42,6.2,1.61,3.86,5.27
AUT1,Tipico Bundesliga,2012/2013,2013-05-11,17:30,Wacker Innsbruck,Austria Vienna,0,3,A,5.5,4.12,1.66,5.5,4.25,1.7,5.11,3.79,1.63
AUT1,Tipico Bundesliga,2012/2013,2013-05-12,15:00,Neustadt,Salzburg,0,6,A,5.97,4.5,1.57,7.0,4.59,1.61,5.77,4.04,1.54
AUT1,Tipico Bundesliga,2012/2013,2013-05-18,15:00,Wolfsberger AC,Admira,0,0,D,2.24,3.52,3.37,2.25,3.65,3.6,2.13,3.41,3.21
AUT1,Tipico Bundesliga,2012/2013,2013-05-18,17:30,Austria Vienna,Neustadt,3,1,H,1.3,6.07,10.92,1.3,6.4,14.0,1.25,5.6,10.99
