Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
DNK1,Superliga,2018/2019,2018-07-13,17:00,Vejle,Hobro,3,1,H,2.61,3.25,2.93,2.74,3.3,2.93,2.59,3.19,2.77
DNK1,Superliga,2018/2019,2018-07-13,19:15,Sonderjyske,Aalborg,0,1,A,2.52,3.32,2.99,2.56,3.42,3.28,2.42,3.26,2.95
DNK1,Superliga,2018/2019,2018-07-14,18:00,Midtjylland,Aarhus,0,0,D,1.57,4.31,6.07,1.59,4.5,6.7,1.53,4.25,5.88
DNK1,Superliga,2018/2019,2018-07-15,11:00,Nordsjaelland,Esbjerg,1,1,D,1.62,4.2,5.67,1.67,4.2,5.75,1.61,4.0,5.26
DNK1,Superliga,2018/2019,2018-07-15,13:00,Vendsyssel,Odense,3,2,H,3.99,3.86,1.91,4.13,3.86,2.0,3.88,3.59,1.92
DNK1,Superliga,2018/2019,2018-07-16,17:00,FC Copenhagen,Horsens,1,2,A,1.39,4.93,8.92,1.47,5.25,10.5,1.39,4.77,7.95
DNK1,Superliga,2018/2019,2018-07-16,19:15,Randers FC,Brondby,0,2,A,5.54,4.49,1.59,5.75,4.5,1.63,5.4,4.18,1.58
DNK1,Superliga,2018/2019,2018-07-20,18:00,Aalborg,Midtjylland,2,1,H,3.84,3.39,2.09,4.12,3.64,2.14,3.74,3.39,2.02
DNK1,Superliga,2018/2019,2018-07-21,15:00,Esbjerg,Vendsyssel,2,3,A,2.08,3.73,3.52,2.13,3.73,3.6,2.07,3.54,3.39
DNK1,Superliga,2018/2019,2018-07-22,11:00,Horsens,Randers FC,1,1,D,2.32,3.42,3.23,2.35,3.42,3.4,2.27,3.28,3.2
DNK1,Superliga,2018/2019,2018-07-22,13:00,Odense,Sonderjyske,2,2,D,1.95,3.77,3.92,2.03,3.84,4.0,1.94,3.61,3.77
DNK1,Superliga,2018/2019,2018-07-22,15:00,Aarhus,Nordsjaelland,1,1,D,2.1,3.84,3.38,2.1,3.86,3.8,2.02,3.63,3.44
DNK1,Superliga,2018/2019,2018-07-22,17:00,Brondby,Vejle,1,1,D,1.33,5.57,10.11,1.35,5.94,11.45,1.31,5.39,9.28
DNK1,Superliga,2018/2019,2018-07-23,18:00,Hobro,FC Copenhagen,0,3,A,6.27,4.27,1.56,6.27,4.27,1.67,5.75,4.01,1.57
DNK1,Superliga,2018/2019,2018-07-27,18:00,Sonderjyske,Horsens,2,0,H,1.88,3.67,4.38,2.06,3.67,4.7,1.88,3.48,4.19
DNK1,Superliga,2018/2019,2018-07-28,15:00,Midtjylland,Esbjerg,3,1,H,1.52,4.51,6.5,1.61,4.51,6.51,1.55,4.12,5.75
DNK1,Superliga,2018/2019,2018-07-29,11:00,Nordsjaelland,Vendsyssel,3,0,H,1.56,4.55,5.77,1.59,4.72,6.0,1.54,4.39,5.53
DNK1,Superliga,2018/2019,2018-07-29,13:00,Randers FC,Odense,1,0,H,2.62,3.51,2.72,2.88,3.54,2.84,2.58,3.36,2.67
