Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Japan,J-League,2012,10/03/2012,05:00,G-Osaka,Kobe,2,3,A,1.94,3.56,4.34,1.94,4.0,5.5,1.71,3.62,4.55
Japan,J-League,2012,10/03/2012,05:00,Hiroshima,Urawa,1,0,H,2.83,3.42,2.63,2.83,3.42,3.0,2.51,3.19,2.67
Japan,J-League,2012,10/03/2012,05:00,Nagoya,Shimizu,1,0,H,1.68,4.09,5.37,1.75,4.09,5.5,1.65,3.62,4.88
Japan,J-League,2012,10/03/2012,05:00,Sagan Tosu,C-Osaka,0,0,D,3.31,3.48,2.29,3.31,3.48,2.29,3.01,3.23,2.24
Japan,J-League,2012,10/03/2012,05:00,Sapporo,Iwata,0,0,D,3.28,3.47,2.31,3.28,3.65,2.5,2.86,3.2,2.36
Japan,J-League,2012,10/03/2012,05:00,Vegalta Sendai,Kashima,1,0,H,2.94,3.3,2.61,3.1,3.3,2.61,2.85,3.12,2.4
Japan,J-League,2012,10/03/2012,08:00,Kawasaki Frontale,Albirex Niigata,1,0,H,1.93,3.73,4.18,1.93,3.73,4.2,1.87,3.38,3.92
Japan,J-League,2012,10/03/2012,10:00,Omiya Ardija,FC Tokyo,0,1,A,3.41,3.34,2.31,3.41,3.34,2.4,2.97,3.16,2.3
Japan,J-League,2012,11/03/2012,05:00,Kashiwa,Yokohama M.,3,3,D,2.22,3.41,3.54,2.22,3.45,4.0,2.01,3.26,3.58
Japan,J-League,2012,17/03/2012,05:00,Albirex Niigata,Omiya Ardija,1,2,A,2.38,3.39,3.23,2.45,3.39,3.5,2.22,3.18,3.16
Japan,J-League,2012,17/03/2012,05:00,C-Osaka,G-Osaka,2,1,H,2.58,3.63,2.76,2.75,3.63,2.87,2.55,3.33,2.57
Japan,J-League,2012,17/03/2012,05:00,Kashima,Kawasaki Frontale,0,1,A,2.24,3.53,3.37,2.27,3.6,3.9,2.04,3.32,3.44
Japan,J-League,2012,17/03/2012,05:00,Urawa,Kashiwa,1,0,H,2.97,3.54,2.46,3.05,3.54,2.82,2.61,3.25,2.56
