Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Ireland,Premier Division ,2013,08/03/2013,19:45,Bohemians,UC Dublin,2,1,H,2.24,3.17,3.78,2.24,3.3,3.8,2.07,3.1,3.61
Ireland,Premier Division ,2013,08/03/2013,19:45,Bray,Shelbourne,1,0,H,2.41,3.16,3.4,2.75,3.35,3.4,2.51,3.11,2.78
Ireland,Premier Division ,2013,08/03/2013,19:45,Derry City,Sligo Rovers,0,1,A,4.49,3.18,2.04,4.49,3.25,2.2,3.65,3.08,2.07
Ireland,Premier Division ,2013,08/03/2013,19:45,Dundalk,Shamrock Rovers,0,0,D,7.29,4.38,1.52,8.0,4.38,1.62,6.07,3.81,1.53
Ireland,Premier Division ,2013,08/03/2013,19:45,St. Patricks,Drogheda,1,0,H,2.04,3.33,4.26,2.12,3.4,4.26,2.01,3.22,3.66
Ireland,Premier Division ,2013,10/03/2013,17:15,Limerick,Cork City,0,0,D,3.6,3.25,2.27,3.6,3.25,2.4,3.14,3.08,2.28
Ireland,Premier Division ,2013,15/03/2013,19:35,Shamrock Rovers,St. Patricks,3,0,H,2.47,3.23,3.22,2.52,3.25,3.6,2.3,3.08,3.11
Ireland,Premier Division ,2013,15/03/2013,19:45,Cork City,Bohemians,2,1,H,2.06,3.24,4.3,2.06,3.4,4.55,1.9,3.21,4.12
Ireland,Premier Division ,2013,15/03/2013,19:45,Drogheda,Limerick,2,2,D,2.12,3.35,3.91,2.13,3.4,4.0,2.02,3.2,3.62
Ireland,Premier Division ,2013,15/03/2013,19:45,UC Dublin,Derry City,0,6,A,3.99,3.34,2.1,3.99,3.34,2.25,3.4,3.18,2.12
Ireland,Premier Division ,2013,15/03/2013,20:00,Shelbourne,Dundalk,1,3,A,3.13,3.27,2.5,3.13,3.3,2.7,2.75,3.1,2.53
Ireland,Premier Division ,2013,16/03/2013,19:45,Sligo Rovers,Bray,3,0,H,1.36,5.16,10.26,1.36,5.52,12.53,1.28,4.93,10.06
Ireland,Premier Division ,2013,18/03/2013,14:00,Bohemians,Shamrock Rovers,0,0,D,5.71,3.8,1.7,6.2,3.8,1.73,5.05,3.5,1.66
Ireland,Premier Division ,2013,19/03/2013,19:45,Derry City,Drogheda,1,1,D,1.99,3.56,4.12,2.11,3.56,4.12,2.04,3.24,3.52
Ireland,Premier Division ,2013,19/03/2013,19:45,Dundalk,Sligo Rovers,1,3,A,5.3,3.81,1.74,6.0,4.0,1.75,5.2,3.61,1.63
Ireland,Premier Division ,2013,19/03/2013,19:45,Limerick,UC Dublin,3,1,H,1.93,3.48,4.59,1.93,3.61,4.9,1.83,3.34,4.23
Ireland,Premier Division ,2013,23/03/2013,19:45,Sligo Rovers,Limerick,2,1,H,1.54,4.17,7.4,1.55,4.3,8.0,1.5,3.87,6.36
Ireland,Premier Division ,2013,23/03/2013,19:45,UC Dublin,Dundalk,1,2,A,4.41,3.65,1.91,4.41,3.65,2.1,3.76,3.33,1.94
Ireland,Premier Division ,2013,24/03/2013,15:00,Drogheda,Bray,2,1,H,2.06,3.53,3.9,2.06,3.75,4.5,1.88,3.46,3.84
Ireland,Premier Division ,2013,24/03/2013,15:30,Cork City,Derry City,0,1,A,2.44,3.27,3.22,2.5,3.3,3.22,2.37,3.15,2.9
Ireland,Premier Division ,2013,24/03/2013,15:55,Shelbourne,Shamrock Rovers,0,0,D,6.46,4.13,1.59,7.5,4.25,1.59,6.11,3.83,1.52
Ireland,Premier Division ,2013,28/03/2013,19:45,Dundalk,Drogheda,2,2,D,2.63,3.15,3.07,2.63,3.35,3.07,2.45,3.15,2.78
Ireland,Premier Division ,2013,29/03/2013,19:05,Bohemians,Sligo Rovers,0,3,A,5.85,3.59,1.74,6.1,3.75,1.75,5.24,3.46,1.66
Ireland,Premier Division ,2013,29/03/2013,19:45,Bray,UC Dublin,2,2,D,2.02,3.58,3.95,2.02,3.6,4.5,1.87,3.37,4.03
Ireland,Premier Division ,2013,29/03/2013,19:45,Derry City,Shelbourne,4,0,H,1.56,4.01,7.41,1.57,4.05,7.41,1.51,3.7,6.65
Ireland,Premier Division ,2013,29/03/2013,20:00,Shamrock Rovers,Cork City,1,1,D,1.67,3.81,6.15,1.69,3.81,6.15,1.62,3.57,5.32
Ireland,Premier Division ,2013,30/03/2013,19:45,Limerick,St. Patricks,0,1,A,3.74,3.27,2.21,3.75,3.3,2.4,3.25,3.12,2.2
Ireland,Premier Division ,2013,01/04/2013,15:00,Derry City,Bray,2,0,H,1.56,4.13,6.98,1.57,4.33,7.0,1.51,3.86,6.21
Ireland,Premier Division ,2013,01/04/2013,15:00,Drogheda,Cork City,1,1,D,2.66,3.28,2.9,2.66,3.3,3.2,2.41,3.11,2.87
Ireland,Premier Division ,2013,01/04/2013,19:00,Shelbourne,Bohemians,0,1,A,2.88,3.09,2.82,2.88,3.25,2.94,2.55,3.04,2.76
Ireland,Premier Division ,2013,01/04/2013,19:45,UC Dublin,Sligo Rovers,0,3,A,12.28,5.38,1.32,12.28,5.5,1.36,9.84,4.85,1.29
Ireland,Premier Division ,2013,02/04/2013,19:45,Limerick,Shamrock Rovers,1,1,D,4.55,3.48,1.93,4.75,3.5,2.0,4.0,3.31,1.88
Ireland,Premier Division ,2013,02/04/2013,19:45,St. Patricks,Dundalk,1,2,A,1.6,4.0,6.6,1.7,4.15,6.6,1.62,3.66,5.2
Ireland,Premier Division ,2013,05/04/2013,19:05,Bohemians,Derry City,0,4,A,4.38,3.25,2.04,4.75,3.3,2.04,3.91,3.22,1.94
Ireland,Premier Division ,2013,05/04/2013,19:45,Bray,St. Patricks,0,1,A,5.77,3.7,1.72,5.77,3.75,1.78,4.81,3.46,1.71
Ireland,Premier Division ,2013,05/04/2013,19:45,Cork City,UC Dublin,2,1,H,1.51,4.37,7.44,1.53,4.55,10.0,1.4,4.16,8.09
Ireland,Premier Division ,2013,05/04/2013,19:45,Dundalk,Limerick,2,2,D,2.38,3.22,3.39,2.4,3.3,3.39,2.3,3.16,3.02
Ireland,Premier Division ,2013,05/04/2013,20:00,Shamrock Rovers,Drogheda,1,1,D,1.77,3.72,5.22,1.78,3.8,6.0,1.62,3.6,5.35
