Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Austria,Tipico Bundesliga,2016/2017,18/02/2017,17:30,Altach,St. Polten,1,2,A,1.68,3.97,5.59,1.72,4.14,6.1,1.62,3.78,5.38
Austria,Tipico Bundesliga,2016/2017,18/02/2017,17:30,Mattersburg,Wolfsberger AC,2,1,H,2.3,3.31,3.48,2.4,3.31,3.48,2.27,3.17,3.21
Austria,Tipico Bundesliga,2016/2017,18/02/2017,17:30,Rapid Vienna,Admira,0,0,D,1.52,4.4,7.18,1.54,4.4,7.3,1.49,4.17,6.44
Austria,Tipico Bundesliga,2016/2017,19/02/2017,15:30,Ried,Salzburg,1,6,A,9.71,5.28,1.36,11.0,5.69,1.45,9.05,4.98,1.32
Austria,Tipico Bundesliga,2016/2017,25/02/2017,15:00,Wolfsberger AC,Rapid Vienna,2,1,H,4.09,3.39,2.06,4.46,3.52,2.1,3.92,3.29,1.97
Austria,Tipico Bundesliga,2016/2017,25/02/2017,17:30,Admira,Ried,1,0,H,2.08,3.43,3.95,2.1,3.6,4.16,2.0,3.31,3.78
Austria,Tipico Bundesliga,2016/2017,25/02/2017,17:30,Austria Vienna,Altach,1,3,A,1.82,3.74,4.81,1.85,3.82,5.4,1.77,3.62,4.44
Austria,Tipico Bundesliga,2016/2017,25/02/2017,17:30,Salzburg,Mattersburg,1,0,H,1.21,7.3,15.8,1.23,7.6,16.0,1.2,6.43,13.14
Austria,Tipico Bundesliga,2016/2017,26/02/2017,15:30,St. Polten,Sturm Graz,2,1,H,3.95,3.63,2.01,3.95,3.63,2.2,3.69,3.41,1.98
Austria,Tipico Bundesliga,2016/2017,04/03/2017,15:00,Sturm Graz,Altach,3,0,H,2.06,3.45,4.01,2.06,3.64,4.36,1.93,3.4,3.92
Austria,Tipico Bundesliga,2016/2017,04/03/2017,17:30,Wolfsberger AC,Admira,1,1,D,2.38,3.21,3.4,2.4,3.22,3.48,2.29,3.11,3.21
Austria,Tipico Bundesliga,2016/2017,04/03/2017,17:30,Mattersburg,St. Polten,1,0,H,1.85,3.71,4.61,2.0,3.74,4.75,1.84,3.48,4.23
Austria,Tipico Bundesliga,2016/2017,04/03/2017,17:30,Ried,Austria Vienna,0,3,A,3.59,3.62,2.13,4.0,3.72,2.19,3.54,3.42,2.03
Austria,Tipico Bundesliga,2016/2017,05/03/2017,15:30,Rapid Vienna,Salzburg,0,1,A,3.92,3.54,2.05,4.0,3.62,2.2,3.6,3.37,2.02
Austria,Tipico Bundesliga,2016/2017,11/03/2017,15:00,St. Polten,Ried,1,0,H,2.34,3.33,3.36,2.4,3.4,3.36,2.28,3.22,3.14
Austria,Tipico Bundesliga,2016/2017,11/03/2017,17:30,Admira,Salzburg,1,1,D,7.91,4.9,1.44,8.92,5.0,1.47,7.57,4.55,1.4
Austria,Tipico Bundesliga,2016/2017,11/03/2017,17:30,Altach,Mattersburg,3,0,H,2.2,3.33,3.7,2.22,3.5,3.92,2.09,3.25,3.56
Austria,Tipico Bundesliga,2016/2017,11/03/2017,17:30,Austria Vienna,Wolfsberger AC,3,0,H,1.54,4.43,6.67,1.65,4.45,7.1,1.52,4.15,5.98
Austria,Tipico Bundesliga,2016/2017,12/03/2017,15:30,Sturm Graz,Rapid Vienna,2,1,H,2.81,3.33,2.7,2.82,3.35,2.8,2.64,3.2,2.64
Austria,Tipico Bundesliga,2016/2017,18/03/2017,15:00,Rapid Vienna,Mattersburg,1,1,D,1.47,4.48,8.32,1.54,4.5,8.32,1.47,4.19,6.87
Austria,Tipico Bundesliga,2016/2017,18/03/2017,17:30,Wolfsberger AC,St. Polten,1,0,H,2.12,3.46,3.78,2.16,3.46,3.82,2.08,3.28,3.56
Austria,Tipico Bundesliga,2016/2017,18/03/2017,17:30,Admira,Sturm Graz,1,0,H,3.25,3.36,2.39,3.25,3.36,2.56,3.05,3.2,2.34
Austria,Tipico Bundesliga,2016/2017,18/03/2017,17:30,Ried,Altach,2,0,H,2.93,3.22,2.68,2.96,3.4,2.78,2.8,3.09,2.59
Austria,Tipico Bundesliga,2016/2017,19/03/2017,15:30,Salzburg,Austria Vienna,5,0,H,1.42,5.02,8.13,1.45,5.02,8.32,1.4,4.66,7.14
Austria,Tipico Bundesliga,2016/2017,01/04/2017,15:00,St. Polten,Rapid Vienna,1,1,D,5.36,4.08,1.68,5.66,4.08,1.8,5.16,3.75,1.65
Austria,Tipico Bundesliga,2016/2017,01/04/2017,17:30,Austria Vienna,Admira,0,2,A,1.63,4.28,5.59,1.67,4.28,6.0,1.59,3.97,5.37
Austria,Tipico Bundesliga,2016/2017,01/04/2017,17:30,Mattersburg,Ried,2,1,H,2.12,3.54,3.7,2.12,3.54,4.06,2.02,3.3,3.72
Austria,Tipico Bundesliga,2016/2017,01/04/2017,17:30,Sturm Graz,Wolfsberger AC,4,0,H,1.89,3.51,4.66,1.91,3.7,5.4,1.81,3.43,4.51
Austria,Tipico Bundesliga,2016/2017,02/04/2017,15:30,Altach,Salzburg,0,5,A,6.08,4.01,1.64,6.34,4.01,1.68,5.71,3.78,1.6
Austria,Tipico Bundesliga,2016/2017,08/04/2017,15:00,Ried,Rapid Vienna,3,0,H,4.51,3.69,1.88,4.55,3.72,1.95,4.14,3.45,1.87
Austria,Tipico Bundesliga,2016/2017,08/04/2017,17:30,Wolfsberger AC,Altach,0,0,D,2.93,3.13,2.75,2.93,3.3,2.9,2.72,3.05,2.69
