Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
SWZ1,Super League,2018/2019,2018-07-21,18:00,Basel,St. Gallen,1,2,A,1.4,5.11,8.25,1.43,5.37,8.98,1.37,4.96,7.43
SWZ1,Super League,2018/2019,2018-07-21,18:00,Luzern,Xamax,0,2,A,2.36,3.44,3.13,2.36,3.56,3.5,2.23,3.4,3.09
SWZ1,Super League,2018/2019,2018-07-22,15:00,Sion,Lugano,1,2,A,2.06,3.57,3.73,2.12,3.64,3.78,2.04,3.42,3.52
SWZ1,Super League,2018/2019,2018-07-22,15:00,Young Boys,Grasshoppers,2,0,H,1.43,4.94,7.65,1.5,5.0,7.65,1.42,4.65,6.88
SWZ1,Super League,2018/2019,2018-07-22,15:00,Zurich,Thun,2,1,H,2.01,3.61,3.86,2.08,3.75,4.0,1.94,3.57,3.69
SWZ1,Super League,2018/2019,2018-07-28,18:00,Grasshoppers,Zurich,0,2,A,3.0,3.37,2.48,3.15,3.5,2.48,2.92,3.32,2.35
SWZ1,Super League,2018/2019,2018-07-28,18:00,Xamax,Basel,1,1,D,4.18,3.8,1.88,4.18,3.85,2.0,3.79,3.69,1.88
SWZ1,Super League,2018/2019,2018-07-29,15:00,Lugano,Young Boys,0,2,A,4.23,3.8,1.88,4.38,3.92,1.9,4.02,3.68,1.83
SWZ1,Super League,2018/2019,2018-07-29,15:00,St. Gallen,Sion,2,4,A,2.78,3.57,2.55,2.81,3.6,2.62,2.69,3.44,2.47
SWZ1,Super League,2018/2019,2018-07-29,15:00,Thun,Luzern,2,1,H,2.26,3.59,3.2,2.31,3.75,3.3,2.22,3.51,3.01
SWZ1,Super League,2018/2019,2018-08-04,18:00,Basel,Grasshoppers,4,2,H,1.49,4.77,6.69,1.5,4.94,7.55,1.46,4.53,6.27
SWZ1,Super League,2018/2019,2018-08-04,18:00,Luzern,Lugano,4,2,H,2.66,3.51,2.69,2.66,3.51,3.0,2.46,3.3,2.8
SWZ1,Super League,2018/2019,2018-08-05,15:00,Sion,Xamax,3,0,H,1.81,4.24,4.07,1.94,4.24,4.07,1.83,3.89,3.79
SWZ1,Super League,2018/2019,2018-08-05,15:00,St. Gallen,Thun,3,2,H,2.57,3.74,2.66,2.65,3.74,2.7,2.5,3.57,2.59
SWZ1,Super League,2018/2019,2018-08-05,15:00,Young Boys,Zurich,4,0,H,1.48,4.45,7.51,1.5,4.8,7.8,1.45,4.49,6.53
SWZ1,Super League,2018/2019,2018-08-11,18:00,Lugano,Grasshoppers,2,2,D,2.19,3.26,3.7,2.26,3.5,3.8,2.12,3.27,3.5
SWZ1,Super League,2018/2019,2018-08-11,18:00,Xamax,Thun,1,5,A,2.39,3.71,2.9,2.42,3.8,2.97,2.32,3.55,2.85
SWZ1,Super League,2018/2019,2018-08-12,15:00,Basel,Sion,3,2,H,1.69,4.1,5.07,1.73,4.2,5.11,1.68,4.01,4.59
SWZ1,Super League,2018/2019,2018-08-12,15:00,Luzern,Young Boys,2,3,A,5.61,4.84,1.54,5.8,4.9,1.6,5.31,4.47,1.53
SWZ1,Super League,2018/2019,2018-08-12,15:00,Zurich,St. Gallen,0,0,D,1.85,3.99,4.15,1.99,4.04,4.2,1.87,3.78,3.78
SWZ1,Super League,2018/2019,2018-08-25,18:00,Grasshoppers,Sion,2,1,H,2.81,3.58,2.51,2.88,3.66,2.59,2.73,3.43,2.46
SWZ1,Super League,2018/2019,2018-08-25,18:00,Young Boys,Xamax,5,2,H,1.45,5.06,6.85,1.46,5.18,7.3,1.41,4.91,6.51
SWZ1,Super League,2018/2019,2018-08-26,15:00,St. Gallen,Luzern,0,1,A,2.25,3.87,3.04,2.33,3.87,3.1,2.23,3.64,2.93
SWZ1,Super League,2018/2019,2018-08-26,15:00,Thun,Lugano,1,1,D,2.05,3.73,3.63,2.11,3.74,3.63,2.03,3.58,3.4
SWZ1,Super League,2018/2019,2018-08-26,15:00,Zurich,Basel,1,1,D,2.86,3.63,2.44,2.94,3.64,2.5,2.79,3.48,2.39
SWZ1,Super League,2018/2019,2018-09-01,18:00,Lugano,Zurich,1,0,H,2.38,3.39,3.14,2.5,3.5,3.18,2.34,3.28,3.01
SWZ1,Super League,2018/2019,2018-09-01,18:00,Sion,Young Boys,0,3,A,3.74,4.19,1.9,3.82,4.2,2.15,3.58,3.89,1.89
SWZ1,Super League,2018/2019,2018-09-02,15:00,Basel,Thun,1,1,D,1.74,4.12,4.63,1.75,4.3,4.8,1.69,4.08,4.35
SWZ1,Super League,2018/2019,2018-09-02,15:00,Luzern,Grasshoppers,2,1,H,2.37,3.51,3.06,2.43,3.6,3.08,2.32,3.42,2.94
SWZ1,Super League,2018/2019,2018-09-02,15:00,Xamax,St. Gallen,2,3,A,2.28,3.89,2.97,2.28,3.9,3.2,2.19,3.62,3.01
SWZ1,Super League,2018/2019,2018-09-22,18:00,Grasshoppers,Xamax,3,1,H,1.96,3.76,3.84,2.15,3.8,3.88,1.99,3.6,3.53
SWZ1,Super League,2018/2019,2018-09-22,18:00,Thun,Sion,4,1,H,2.33,3.67,2.98,2.47,3.75,3.02,2.34,3.51,2.85
SWZ1,Super League,2018/2019,2018-09-23,15:00,St. Gallen,Lugano,2,2,D,2.88,3.49,2.49,3.04,3.58,2.7,2.85,3.37,2.41
SWZ1,Super League,2018/2019,2018-09-23,15:00,Young Boys,Basel,7,1,H,1.74,4.26,4.42,1.85,4.3,4.5,1.74,4.03,4.18
SWZ1,Super League,2018/2019,2018-09-23,15:00,Zurich,Luzern,1,0,H,2.12,3.5,3.6,2.17,3.6,3.64,2.07,3.42,3.46
SWZ1,Super League,2018/2019,2018-09-25,19:00,Grasshoppers,Thun,0,2,A,2.56,3.59,2.76,2.58,3.67,2.85,2.48,3.46,2.68
SWZ1,Super League,2018/2019,2018-09-26,19:00,Basel,Luzern,2,1,H,1.57,4.62,5.36,1.66,4.62,5.6,1.58,4.29,5.02
SWZ1,Super League,2018/2019,2018-09-26,19:00,Xamax,Lugano,2,1,H,2.76,3.59,2.57,2.95,3.59,2.62,2.72,3.39,2.49
SWZ1,Super League,2018/2019,2018-09-26,19:00,Young Boys,St. Gallen,2,0,H,1.38,5.39,7.48,1.39,6.0,8.69,1.35,5.38,7.24
SWZ1,Super League,2018/2019,2018-09-27,19:00,Sion,Zurich,1,2,A,2.39,3.58,2.99,2.4,3.63,3.15,2.29,3.44,2.97
SWZ1,Super League,2018/2019,2018-09-29,18:00,St. Gallen,Grasshoppers,2,1,H,2.25,3.62,3.21,2.27,3.62,3.25,2.2,3.48,3.11
SWZ1,Super League,2018/2019,2018-09-29,18:00,Thun,Young Boys,1,4,A,3.21,3.8,2.19,3.63,3.82,2.24,3.23,3.63,2.09
SWZ1,Super League,2018/2019,2018-09-30,15:00,Lugano,Basel,2,2,D,3.38,3.45,2.24,3.38,3.51,2.31,3.19,3.33,2.22
SWZ1,Super League,2018/2019,2018-09-30,15:00,Luzern,Sion,1,3,A,2.37,3.8,2.89,2.41,3.8,3.1,2.31,3.57,2.85
