Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
China,Super League,2018,08/04/2018,12:35,Guizhou Zhicheng,Tianjin Quanjian,0,1,A,3.09,3.59,2.31,3.26,3.65,2.41,2.94,3.45,2.23
China,Super League,2018,08/04/2018,12:35,Henan Jianye,Shanghai SIPG,1,2,A,5.01,4.26,1.66,5.4,4.7,1.74,4.57,4.03,1.64
China,Super League,2018,13/04/2018,11:00,Shanghai Shenhua,Guangzhou Evergrande,2,2,D,3.67,3.86,1.98,3.8,4.0,1.99,3.54,3.73,1.9
China,Super League,2018,13/04/2018,12:35,Tianjin Quanjian,Jiangsu Suning,1,1,D,2.14,3.51,3.55,2.18,3.54,3.7,2.07,3.4,3.36
China,Super League,2018,13/04/2018,13:00,Shanghai SIPG,Hebei,2,0,H,1.52,4.98,5.64,1.55,5.4,6.35,1.49,4.68,5.34
China,Super League,2018,14/04/2018,08:30,Beijing Renhe,Guizhou Zhicheng,2,1,H,1.92,3.58,4.26,2.06,3.61,4.3,1.92,3.37,3.88
China,Super League,2018,14/04/2018,08:30,Tianjin Teda,Guangzhou R&F,2,1,H,2.71,3.72,2.51,2.88,3.8,2.52,2.64,3.58,2.39
China,Super League,2018,14/04/2018,12:35,Shandong Luneng,Dalian Yifang F.C.,2,0,H,1.43,4.82,7.62,1.45,5.0,8.0,1.4,4.63,6.94
China,Super League,2018,15/04/2018,08:30,Changchun Yatai,Henan Jianye,3,0,H,1.88,3.62,4.44,1.89,3.74,4.82,1.81,3.52,4.22
China,Super League,2018,15/04/2018,12:35,Chongqing Lifan,Beijing Guoan,3,3,D,3.71,3.54,2.07,4.0,3.58,2.21,3.42,3.39,2.04
China,Super League,2018,20/04/2018,12:35,Henan Jianye,Chongqing Lifan,0,2,A,2.07,3.58,3.66,2.55,3.6,3.75,2.1,3.34,3.35
China,Super League,2018,21/04/2018,08:30,Hebei,Beijing Renhe,0,0,D,1.68,3.93,5.4,1.75,4.0,5.5,1.68,3.77,4.66
China,Super League,2018,21/04/2018,12:35,Guangzhou R&F,Shandong Luneng,2,4,A,2.53,3.74,2.69,2.66,3.8,2.81,2.45,3.54,2.6
China,Super League,2018,21/04/2018,12:35,Guizhou Zhicheng,Changchun Yatai,2,5,A,2.7,3.23,2.82,2.71,3.4,2.9,2.53,3.22,2.68
China,Super League,2018,22/04/2018,08:30,Dalian Yifang F.C.,Tianjin Quanjian,1,1,D,3.81,3.72,1.99,3.81,3.74,2.15,3.53,3.52,1.97
China,Super League,2018,22/04/2018,11:00,Jiangsu Suning,Shanghai Shenhua,5,1,H,2.0,3.67,3.8,2.08,3.72,4.0,1.96,3.53,3.56
China,Super League,2018,22/04/2018,12:35,Beijing Guoan,Guangzhou Evergrande,2,2,D,2.06,3.86,3.46,2.65,3.86,3.79,2.04,3.62,3.29
China,Super League,2018,22/04/2018,13:00,Shanghai SIPG,Tianjin Teda,1,1,D,1.28,6.26,10.57,1.31,7.0,15.0,1.27,5.75,9.31
China,Super League,2018,28/04/2018,08:30,Beijing Renhe,Tianjin Teda,1,0,H,2.13,3.35,3.73,2.2,3.48,3.79,2.08,3.27,3.49
China,Super League,2018,28/04/2018,12:35,Guangzhou Evergrande,Jiangsu Suning,1,0,H,2.12,3.63,3.48,2.13,3.92,4.2,2.01,3.58,3.41
China,Super League,2018,28/04/2018,12:35,Tianjin Quanjian,Hebei,0,3,A,2.6,3.38,2.82,2.6,3.5,3.23,2.45,3.29,2.76
China,Super League,2018,29/04/2018,08:30,Changchun Yatai,Shanghai SIPG,2,1,H,5.63,4.7,1.55,5.9,5.0,1.64,5.2,4.4,1.53
China,Super League,2018,29/04/2018,12:35,Beijing Guoan,Guizhou Zhicheng,4,3,H,1.38,5.15,8.78,1.41,5.5,9.0,1.35,4.92,7.65
China,Super League,2018,29/04/2018,12:35,Chongqing Lifan,Guangzhou R&F,0,1,A,2.57,3.74,2.64,2.59,3.8,2.87,2.45,3.52,2.62
China,Super League,2018,29/04/2018,12:35,Shandong Luneng,Henan Jianye,2,1,H,1.57,3.97,6.87,1.62,4.35,7.5,1.5,4.06,6.22
China,Super League,2018,29/04/2018,12:35,Shanghai Shenhua,Dalian Yifang F.C.,1,0,H,1.7,4.01,5.05,1.73,4.2,5.2,1.67,3.87,4.63
China,Super League,2018,05/05/2018,08:00,Dalian Yifang F.C.,Guangzhou Evergrande,3,0,H,3.64,3.55,2.09,4.8,4.08,2.09,3.85,3.66,1.86
China,Super League,2018,05/05/2018,12:35,Chongqing Lifan,Tianjin Quanjian,0,1,A,2.8,3.41,2.6,2.92,3.6,2.7,2.7,3.32,2.48
China,Super League,2018,05/05/2018,12:35,Guangzhou R&F,Shanghai Shenhua,4,2,H,1.9,3.99,3.88,1.99,4.0,4.3,1.88,3.77,3.64
China,Super League,2018,05/05/2018,12:35,Hebei,Henan Jianye,0,1,A,1.64,3.82,6.08,1.71,4.3,6.08,1.63,3.75,5.2
China,Super League,2018,05/05/2018,12:35,Shanghai SIPG,Beijing Guoan,1,2,A,1.85,3.99,4.14,1.88,4.38,4.33,1.8,3.82,3.94
China,Super League,2018,06/05/2018,08:30,Beijing Renhe,Shandong Luneng,0,0,D,2.82,3.3,2.65,2.89,3.34,2.71,2.68,3.21,2.55
China,Super League,2018,06/05/2018,08:30,Tianjin Teda,Guizhou Zhicheng,5,1,H,1.95,3.69,3.98,2.01,3.69,4.05,1.93,3.51,3.65
China,Super League,2018,06/05/2018,12:35,Jiangsu Suning,Changchun Yatai,2,0,H,1.76,3.92,4.73,1.85,4.04,4.75,1.77,3.76,4.15
China,Super League,2018,11/05/2018,12:35,Beijing Guoan,Guangzhou R&F,2,2,D,1.55,4.68,5.66,1.65,4.75,5.66,1.54,4.42,5.1
China,Super League,2018,12/05/2018,08:30,Changchun Yatai,Tianjin Teda,0,1,A,1.99,3.72,3.78,2.02,3.9,3.8,1.94,3.62,3.56
China,Super League,2018,12/05/2018,08:30,Guizhou Zhicheng,Shanghai SIPG,1,1,D,3.7,4.01,1.94,4.0,4.05,2.01,3.45,3.81,1.91
