Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
China,Super League,2017,03/03/2017,11:35,Guizhou Zhicheng,Liaoning,1,1,D,2.59,3.21,2.96,2.66,3.3,2.99,2.48,3.12,2.78
China,Super League,2017,04/03/2017,07:30,Guangzhou R&F,Tianjin Quanjian,2,0,H,2.3,3.47,3.2,2.6,3.5,3.2,2.34,3.26,2.86
China,Super League,2017,04/03/2017,11:35,Shandong Luneng,Tianjin Teda,2,0,H,1.78,3.78,4.78,1.81,3.9,5.0,1.76,3.57,4.29
China,Super League,2017,04/03/2017,11:35,Shanghai SIPG,Changchun Yatai,5,1,H,1.26,6.09,13.22,1.26,6.65,13.82,1.23,5.64,10.93
China,Super League,2017,05/03/2017,07:30,Chongqing Lifan,Yanbian,0,0,D,1.88,3.4,4.83,1.91,3.5,4.83,1.84,3.34,4.2
China,Super League,2017,05/03/2017,11:35,Guangzhou Evergrande,Beijing Guoan,2,1,H,1.48,4.42,7.41,1.51,4.6,7.73,1.45,4.2,6.47
China,Super League,2017,05/03/2017,11:35,Henan Jianye,Hebei,0,0,D,3.22,3.15,2.46,3.57,3.3,2.5,3.06,3.07,2.32
China,Super League,2017,05/03/2017,11:35,Shanghai Shenhua,Jiangsu Suning,4,0,H,2.24,3.51,3.29,2.29,3.52,3.75,2.14,3.32,3.18
China,Super League,2017,10/03/2017,11:35,Jiangsu Suning,Tianjin Teda,0,0,D,2.09,3.46,3.73,2.22,3.6,3.9,2.04,3.27,3.47
China,Super League,2017,10/03/2017,11:35,Shandong Luneng,Guangzhou Evergrande,2,1,H,3.61,3.64,2.07,3.74,3.75,2.1,3.39,3.46,2.0
China,Super League,2017,10/03/2017,11:35,Shanghai SIPG,Yanbian,2,0,H,1.19,7.65,16.25,1.19,7.8,17.83,1.16,6.91,13.51
China,Super League,2017,11/03/2017,07:30,Chongqing Lifan,Hebei,1,1,D,2.49,3.27,3.05,3.1,3.35,3.13,2.4,3.21,2.82
China,Super League,2017,11/03/2017,07:30,Guizhou Zhicheng,Beijing Guoan,1,1,D,5.54,3.65,1.72,5.54,3.72,1.83,4.86,3.46,1.71
China,Super League,2017,11/03/2017,11:35,Shanghai Shenhua,Tianjin Quanjian,1,1,D,1.53,4.43,6.35,1.56,4.46,6.94,1.51,4.08,5.77
China,Super League,2017,12/03/2017,07:30,Guangzhou R&F,Changchun Yatai,1,0,H,1.68,4.02,5.19,1.86,4.06,5.5,1.68,3.75,4.58
China,Super League,2017,12/03/2017,11:35,Henan Jianye,Liaoning,1,1,D,1.72,3.59,5.74,2.17,3.7,5.74,1.74,3.41,4.8
China,Super League,2017,01/04/2017,08:30,Yanbian,Guangzhou R&F,0,1,A,2.71,3.48,2.64,2.75,3.5,2.65,2.61,3.27,2.54
China,Super League,2017,01/04/2017,12:35,Guangzhou Evergrande,Shanghai SIPG,3,2,H,1.85,3.85,4.24,2.06,3.86,4.24,1.89,3.63,3.61
