Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Finland,Veikkausliiga,2013,13/04/2013,12:00,TPS,Honka,2,0,H,2.02,3.44,4.11,2.08,3.5,4.5,1.92,3.35,3.89
Finland,Veikkausliiga,2013,14/04/2013,16:30,KuPS,MyPa,1,1,D,2.16,3.4,3.7,2.25,3.4,3.75,2.13,3.25,3.31
Finland,Veikkausliiga,2013,14/04/2013,16:30,Rovaniemi,Mariehamn,1,3,A,2.13,3.42,3.77,2.16,3.42,3.77,2.09,3.28,3.38
Finland,Veikkausliiga,2013,20/04/2013,14:00,TPS,VPS,0,1,A,1.63,3.94,6.4,1.63,4.05,6.7,1.54,3.8,6.13
Finland,Veikkausliiga,2013,21/04/2013,13:00,Rovaniemi,Lahti,3,0,H,2.95,3.37,2.57,2.95,3.37,2.57,2.79,3.21,2.42
Finland,Veikkausliiga,2013,21/04/2013,16:30,Jaro,KuPS,2,1,H,3.12,3.3,2.49,3.12,3.38,2.5,2.87,3.2,2.4
Finland,Veikkausliiga,2013,21/04/2013,16:30,Mariehamn,JJK Jyvaskyla,2,2,D,2.16,3.47,3.64,2.25,3.5,3.64,2.13,3.33,3.24
Finland,Veikkausliiga,2013,21/04/2013,16:30,MyPa,Inter Turku,1,0,H,2.29,3.41,3.39,2.35,3.41,3.41,2.22,3.24,3.12
Finland,Veikkausliiga,2013,22/04/2013,16:30,Honka,HJK,0,2,A,5.26,3.67,1.78,5.26,3.67,1.81,4.67,3.47,1.75
Finland,Veikkausliiga,2013,28/04/2013,16:30,JJK Jyvaskyla,Lahti,0,0,D,2.44,3.5,3.03,2.6,3.5,3.03,2.35,3.29,2.87
Finland,Veikkausliiga,2013,28/04/2013,16:30,KuPS,Mariehamn,0,1,A,2.27,3.62,3.22,2.29,3.62,3.4,2.21,3.28,3.11
Finland,Veikkausliiga,2013,28/04/2013,16:30,Rovaniemi,TPS,1,0,H,3.3,3.61,2.25,3.55,3.61,2.25,3.34,3.3,2.11
Finland,Veikkausliiga,2013,28/04/2013,16:30,VPS,Honka,0,0,D,2.87,3.17,2.75,2.88,3.25,2.8,2.66,3.08,2.65
Finland,Veikkausliiga,2013,29/04/2013,16:30,HJK,MyPa,2,0,H,1.46,4.59,8.21,1.46,4.75,10.0,1.37,4.39,8.39
Finland,Veikkausliiga,2013,29/04/2013,16:30,Inter Turku,Jaro,1,0,H,1.92,3.67,4.34,1.95,3.67,4.5,1.86,3.41,4.08
Finland,Veikkausliiga,2013,02/05/2013,16:30,Inter Turku,HJK,2,2,D,6.04,3.74,1.69,6.04,3.85,1.73,5.24,3.6,1.65
Finland,Veikkausliiga,2013,05/05/2013,16:30,Jaro,HJK,2,3,A,6.45,3.96,1.62,7.5,4.25,1.62,6.71,3.79,1.5
Finland,Veikkausliiga,2013,05/05/2013,16:30,Lahti,KuPS,1,0,H,2.0,3.58,4.04,2.0,3.58,4.25,1.93,3.32,3.85
Finland,Veikkausliiga,2013,05/05/2013,16:30,Mariehamn,Inter Turku,1,2,A,2.19,3.64,3.39,2.21,3.64,3.75,2.1,3.34,3.32
Finland,Veikkausliiga,2013,05/05/2013,16:30,MyPa,Honka,1,0,H,2.24,3.41,3.51,2.29,3.41,3.55,2.2,3.19,3.22
Finland,Veikkausliiga,2013,05/05/2013,16:30,TPS,JJK Jyvaskyla,1,0,H,1.78,3.83,5.0,1.83,3.83,5.0,1.74,3.53,4.56
Finland,Veikkausliiga,2013,05/05/2013,16:30,VPS,Rovaniemi,3,1,H,2.31,3.29,3.46,2.31,3.3,3.57,2.21,3.16,3.23
Finland,Veikkausliiga,2013,09/05/2013,12:00,HJK,Mariehamn,0,0,D,1.39,5.05,9.4,1.4,5.3,10.5,1.34,4.64,8.72
Finland,Veikkausliiga,2013,09/05/2013,15:00,Honka,Rovaniemi,2,0,H,1.83,3.53,5.14,1.86,3.55,5.14,1.81,3.39,4.4
