Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
SWE1,Allsvenskan,2016,2016-04-02,12:00,Malmo FF,Norrkoping,3,1,H,1.72,3.93,5.27,1.72,4.0,5.8,1.67,3.75,4.97
SWE1,Allsvenskan,2016,2016-04-02,15:00,Kalmar,Jonkopings,0,1,A,2.06,3.39,4.1,2.06,3.6,4.5,1.93,3.31,4.04
SWE1,Allsvenskan,2016,2016-04-03,14:00,AIK,Sundsvall,1,1,D,1.52,4.53,6.88,1.55,4.6,7.4,1.49,4.21,6.39
SWE1,Allsvenskan,2016,2016-04-03,14:00,Gefle,Helsingborg,1,1,D,2.67,3.38,2.82,2.67,3.4,2.97,2.55,3.2,2.75
SWE1,Allsvenskan,2016,2016-04-03,14:00,Hacken,Elfsborg,2,1,H,2.12,3.7,3.61,2.2,3.7,3.61,2.11,3.45,3.31
SWE1,Allsvenskan,2016,2016-04-03,16:30,Falkenbergs,Goteborg,0,2,A,5.34,3.99,1.7,6.0,4.0,1.7,5.28,3.76,1.64
SWE1,Allsvenskan,2016,2016-04-03,16:30,Orebro,Djurgarden,0,2,A,2.8,3.39,2.68,2.93,3.45,2.9,2.7,3.22,2.59
SWE1,Allsvenskan,2016,2016-04-04,18:00,Hammarby,Ostersunds,1,1,D,1.88,3.66,4.55,1.88,3.85,4.8,1.81,3.53,4.37
SWE1,Allsvenskan,2016,2016-04-06,17:30,Goteborg,Hacken,1,0,H,1.74,3.85,5.29,1.85,4.1,5.5,1.72,3.72,4.69
SWE1,Allsvenskan,2016,2016-04-06,17:30,Jonkopings,Malmo FF,3,2,H,5.33,3.82,1.74,5.6,4.1,1.75,4.95,3.7,1.69
SWE1,Allsvenskan,2016,2016-04-06,17:30,Norrkoping,Kalmar,4,1,H,1.58,4.23,6.35,1.59,4.5,7.0,1.54,3.98,6.01
SWE1,Allsvenskan,2016,2016-04-07,18:00,Djurgarden,Falkenbergs,5,0,H,1.32,5.59,11.25,1.4,5.6,11.25,1.32,5.03,9.06
SWE1,Allsvenskan,2016,2016-04-07,18:00,Elfsborg,Hammarby,4,1,H,1.67,4.15,5.42,1.72,4.33,5.85,1.65,3.84,5.04
SWE1,Allsvenskan,2016,2016-04-07,18:00,Helsingborg,Orebro,1,3,A,2.2,3.59,3.36,2.26,3.59,3.5,2.17,3.36,3.22
SWE1,Allsvenskan,2016,2016-04-07,18:00,Ostersunds,AIK,0,2,A,2.67,3.3,2.87,2.85,3.38,2.93,2.58,3.16,2.75
SWE1,Allsvenskan,2016,2016-04-07,18:00,Sundsvall,Gefle,1,2,A,1.81,3.94,4.55,1.85,3.94,5.1,1.78,3.63,4.37
SWE1,Allsvenskan,2016,2016-04-09,15:00,Hacken,Norrkoping,1,2,A,2.39,3.55,3.08,2.39,3.65,3.11,2.31,3.4,2.93
SWE1,Allsvenskan,2016,2016-04-10,14:00,Gefle,Djurgarden,1,2,A,4.48,3.72,1.88,4.48,3.78,1.95,4.08,3.51,1.87
SWE1,Allsvenskan,2016,2016-04-10,14:00,Hammarby,Helsingborg,5,1,H,1.76,4.01,4.85,1.9,4.01,4.86,1.75,3.71,4.45
