Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Romania,Liga 1,2016/2017,22/07/2016,16:30,FC Voluntari,Viitorul Constanta,0,1,A,3.39,3.46,2.24,3.47,3.47,2.41,3.1,3.25,2.21
Romania,Liga 1,2016/2017,22/07/2016,19:00,Pandurii,U Craiova,2,1,H,2.56,3.2,3.04,2.76,3.2,3.15,2.47,3.06,2.83
Romania,Liga 1,2016/2017,23/07/2016,16:30,Gaz Metan Medias,Targu Mures,2,1,H,1.89,3.45,4.72,1.9,3.55,6.1,1.82,3.25,4.43
Romania,Liga 1,2016/2017,23/07/2016,19:00,Astra,Din. Bucuresti,1,4,A,2.15,3.39,3.7,2.24,3.5,3.98,2.08,3.21,3.44
Romania,Liga 1,2016/2017,24/07/2016,19:00,CFR Cluj,Concordia,2,0,H,1.69,3.84,5.57,1.74,3.84,6.5,1.66,3.56,5.01
Romania,Liga 1,2016/2017,29/07/2016,19:00,Poli Iasi,Gaz Metan Medias,3,1,H,1.96,3.26,4.74,2.06,3.26,5.2,1.93,3.09,4.17
Romania,Liga 1,2016/2017,30/07/2016,16:30,FC Botosani,CFR Cluj,3,1,H,2.68,3.01,3.08,2.75,3.12,3.25,2.46,2.98,2.91
Romania,Liga 1,2016/2017,30/07/2016,19:00,Din. Bucuresti,Poli Timisoara,2,1,H,1.21,7.16,16.11,1.21,7.5,22.78,1.17,6.38,14.52
Romania,Liga 1,2016/2017,31/07/2016,15:30,Pandurii,Astra,0,0,D,2.64,2.96,3.18,2.84,3.02,3.25,2.49,2.9,2.95
Romania,Liga 1,2016/2017,31/07/2016,18:30,Viitorul Constanta,FC Steaua Bucuresti,1,3,A,3.33,3.3,2.34,4.36,3.47,2.38,3.28,3.14,2.19
Romania,Liga 1,2016/2017,01/08/2016,16:30,U Craiova,Targu Mures,2,1,H,1.5,4.32,7.67,1.52,4.32,8.5,1.46,3.98,6.85
Romania,Liga 1,2016/2017,01/08/2016,19:00,Concordia,FC Voluntari,0,4,A,2.37,3.26,3.31,2.41,3.27,3.58,2.31,3.12,3.03
Romania,Liga 1,2016/2017,05/08/2016,16:30,FC Voluntari,FC Botosani,4,2,H,3.27,3.24,2.41,3.42,3.42,2.41,3.05,3.24,2.23
Romania,Liga 1,2016/2017,05/08/2016,19:00,Targu Mures,Poli Iasi,0,3,A,4.75,3.39,1.91,5.1,3.39,2.0,4.13,3.18,1.9
Romania,Liga 1,2016/2017,06/08/2016,17:00,Astra,U Craiova,1,2,A,2.43,3.17,3.29,2.45,3.2,3.5,2.33,3.08,3.01
