Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2017/2018,22/07/2017,01:00,Monarcas,Monterrey,0,0,D,3.77,3.64,2.06,3.77,3.64,2.15,3.44,3.38,2.05
Mexico,Liga MX,2017/2018,22/07/2017,03:00,Club Tijuana,Cruz Azul,0,2,A,2.24,3.32,3.6,2.29,3.38,3.6,2.18,3.15,3.34
Mexico,Liga MX,2017/2018,22/07/2017,23:00,Club America,Queretaro,0,1,A,2.01,3.51,4.14,2.03,3.51,4.18,1.95,3.31,3.86
Mexico,Liga MX,2017/2018,22/07/2017,23:00,Lobos BUAP,Santos Laguna,2,2,D,3.33,3.68,2.21,3.33,3.68,2.25,3.15,3.41,2.16
Mexico,Liga MX,2017/2018,23/07/2017,01:00,U.A.N.L.- Tigres,Puebla,5,0,H,1.57,4.17,6.69,1.59,4.2,7.25,1.52,3.93,6.2
Mexico,Liga MX,2017/2018,23/07/2017,01:06,Club Leon,Atlas,0,3,A,1.79,3.97,4.66,1.83,4.03,4.75,1.75,3.63,4.37
Mexico,Liga MX,2017/2018,23/07/2017,03:06,Guadalajara Chivas,Toluca,0,0,D,2.87,3.23,2.72,3.06,3.25,2.75,2.75,3.07,2.58
Mexico,Liga MX,2017/2018,23/07/2017,18:00,U.N.A.M.- Pumas,Pachuca,1,0,H,3.03,3.49,2.45,3.1,3.49,2.6,2.88,3.21,2.4
Mexico,Liga MX,2017/2018,24/07/2017,00:49,Veracruz,Necaxa,0,2,A,2.48,3.24,3.19,2.52,3.24,3.24,2.39,3.07,3.02
Mexico,Liga MX,2017/2018,29/07/2017,01:00,Puebla,Monarcas,1,1,D,2.38,3.35,3.27,2.38,3.35,3.34,2.25,3.18,3.16
Mexico,Liga MX,2017/2018,29/07/2017,03:00,Atlas,U.N.A.M.- Pumas,2,1,H,2.18,3.57,3.49,2.21,3.68,3.56,2.12,3.38,3.26
Mexico,Liga MX,2017/2018,29/07/2017,23:00,Cruz Azul,Guadalajara Chivas,1,1,D,1.74,3.67,5.61,1.79,3.68,5.75,1.71,3.43,5.07
Mexico,Liga MX,2017/2018,29/07/2017,23:00,Queretaro,Lobos BUAP,0,4,A,1.96,3.5,4.38,2.02,3.58,4.39,1.9,3.41,3.94
Mexico,Liga MX,2017/2018,30/07/2017,01:00,Monterrey,Veracruz,1,0,H,1.28,6.06,12.54,1.33,6.2,12.54,1.27,5.41,9.87
Mexico,Liga MX,2017/2018,30/07/2017,01:06,Pachuca,Club America,0,2,A,2.06,3.55,3.86,2.1,3.55,4.15,1.99,3.32,3.7
Mexico,Liga MX,2017/2018,30/07/2017,03:00,Necaxa,Club Tijuana,1,0,H,2.4,3.23,3.35,2.5,3.3,3.38,2.36,3.07,3.06
Mexico,Liga MX,2017/2018,30/07/2017,18:00,Toluca,Club Leon,3,1,H,2.13,3.64,3.56,2.13,3.64,3.86,2.05,3.38,3.45
Mexico,Liga MX,2017/2018,31/07/2017,00:30,Santos Laguna,U.A.N.L.- Tigres,1,1,D,3.47,3.42,2.25,3.48,3.43,2.45,3.2,3.21,2.22
Mexico,Liga MX,2017/2018,05/08/2017,01:00,Monarcas,Santos Laguna,1,1,D,2.64,3.43,2.82,2.9,3.43,2.85,2.58,3.2,2.64
Mexico,Liga MX,2017/2018,05/08/2017,03:00,Club Tijuana,Monterrey,0,3,A,3.53,3.49,2.2,3.57,3.49,2.31,3.3,3.27,2.14
Mexico,Liga MX,2017/2018,05/08/2017,23:00,Lobos BUAP,Pachuca,3,2,H,3.97,3.73,1.98,3.97,3.73,2.22,3.28,3.39,2.11
Mexico,Liga MX,2017/2018,06/08/2017,01:00,U.A.N.L.- Tigres,Queretaro,1,1,D,1.4,4.84,9.66,1.44,4.9,9.66,1.38,4.48,8.09
Mexico,Liga MX,2017/2018,06/08/2017,01:06,Club Leon,Cruz Azul,2,2,D,2.65,3.49,2.77,2.7,3.49,2.9,2.54,3.22,2.71
