Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
POL1,Ekstraklasa,2014/2015,2014-07-18,17:00,Podbeskidzie,Pogon Szczecin,2,3,A,2.4,3.08,3.55,2.4,3.25,3.55,2.27,3.1,3.22
POL1,Ekstraklasa,2014/2015,2014-07-18,19:30,Leczna,Wisla,1,1,D,2.97,3.14,2.71,3.05,3.4,2.71,2.9,3.09,2.47
POL1,Ekstraklasa,2014/2015,2014-07-19,17:00,Jagiellonia,Lechia Gdansk,2,2,D,3.35,3.33,2.35,3.5,3.35,2.41,3.03,3.18,2.33
POL1,Ekstraklasa,2014/2015,2014-07-19,19:30,Legia,GKS Belchatow,0,1,A,1.78,3.8,4.97,1.79,4.3,7.5,1.67,3.64,5.06
POL1,Ekstraklasa,2014/2015,2014-07-20,14:30,Lech Poznan,Piast Gliwice,4,0,H,1.6,4.23,6.04,1.6,4.33,8.0,1.53,3.92,6.11
POL1,Ekstraklasa,2014/2015,2014-07-20,14:30,Zawisza,Korona Kielce,2,0,H,2.27,3.3,3.57,2.27,3.35,3.7,2.16,3.2,3.36
POL1,Ekstraklasa,2014/2015,2014-07-20,17:00,Slask Wroclaw,Ruch,2,0,H,2.01,3.46,4.19,2.2,3.46,4.19,2.02,3.29,3.65
POL1,Ekstraklasa,2014/2015,2014-07-21,17:00,Gornik Z.,Cracovia,2,0,H,2.37,3.42,3.2,2.44,3.42,3.6,2.25,3.24,3.13
POL1,Ekstraklasa,2014/2015,2014-07-25,17:00,GKS Belchatow,Korona Kielce,2,0,H,1.99,3.39,4.4,1.99,3.45,4.6,1.93,3.28,4.02
POL1,Ekstraklasa,2014/2015,2014-07-25,19:30,Lechia Gdansk,Podbeskidzie,1,0,H,1.64,3.98,6.09,1.7,4.2,6.2,1.61,3.74,5.38
POL1,Ekstraklasa,2014/2015,2014-07-26,17:00,Pogon Szczecin,Slask Wroclaw,4,1,H,2.84,3.07,2.88,2.84,3.2,3.1,2.56,3.05,2.83
POL1,Ekstraklasa,2014/2015,2014-07-26,19:30,Cracovia,Legia,1,3,A,4.38,3.35,2.0,4.38,3.6,2.27,3.66,3.32,2.0
POL1,Ekstraklasa,2014/2015,2014-07-27,14:30,Ruch,Leczna,1,2,A,2.15,3.34,3.84,2.33,3.41,3.85,2.13,3.16,3.47
POL1,Ekstraklasa,2014/2015,2014-07-27,14:30,Zawisza,Jagiellonia,1,3,A,2.05,3.48,4.01,2.1,3.49,4.5,1.98,3.31,3.74
POL1,Ekstraklasa,2014/2015,2014-07-27,17:00,Gornik Z.,Lech Poznan,1,1,D,4.21,3.18,2.11,4.4,3.4,2.13,3.74,3.23,2.02
POL1,Ekstraklasa,2014/2015,2014-07-28,17:00,Wisla,Piast Gliwice,1,1,D,1.96,3.6,4.14,2.05,3.7,5.15,1.88,3.37,4.1
POL1,Ekstraklasa,2014/2015,2014-08-01,17:00,Jagiellonia,Cracovia,2,1,H,2.08,3.55,3.82,2.21,3.6,4.2,2.04,3.29,3.57
POL1,Ekstraklasa,2014/2015,2014-08-01,19:30,Piast Gliwice,Lechia Gdansk,1,3,A,4.13,3.41,2.04,4.14,3.42,2.39,3.65,3.26,2.02
POL1,Ekstraklasa,2014/2015,2014-08-02,17:00,Korona Kielce,Pogon Szczecin,2,2,D,3.16,3.22,2.51,3.16,3.25,2.65,2.91,3.12,2.43
POL1,Ekstraklasa,2014/2015,2014-08-02,19:30,Legia,Gornik Z.,1,1,D,1.69,3.9,5.63,1.71,4.0,5.9,1.63,3.64,5.42
POL1,Ekstraklasa,2014/2015,2014-08-03,14:30,Podbeskidzie,Ruch,3,0,H,2.19,3.36,3.68,2.25,3.4,3.71,2.13,3.26,3.35
POL1,Ekstraklasa,2014/2015,2014-08-03,14:30,Slask Wroclaw,Zawisza,2,1,H,2.09,3.31,4.07,2.2,3.4,4.11,2.05,3.23,3.64
POL1,Ekstraklasa,2014/2015,2014-08-03,17:00,Lech Poznan,Wisla,2,3,A,1.61,4.04,6.36,1.7,4.04,6.37,1.62,3.69,5.43
POL1,Ekstraklasa,2014/2015,2014-08-04,17:00,Leczna,GKS Belchatow,1,1,D,2.88,3.12,2.76,3.05,3.25,2.8,2.76,3.05,2.6
POL1,Ekstraklasa,2014/2015,2014-08-08,17:00,Cracovia,Korona Kielce,2,1,H,2.1,3.41,3.91,2.2,3.5,4.15,2.05,3.25,3.6
POL1,Ekstraklasa,2014/2015,2014-08-08,19:30,Gornik Z.,Jagiellonia,3,0,H,2.27,3.29,3.56,2.3,3.4,3.56,2.21,3.22,3.22
POL1,Ekstraklasa,2014/2015,2014-08-09,17:00,GKS Belchatow,Slask Wroclaw,2,0,H,2.64,3.24,2.95,2.64,3.3,3.05,2.5,3.11,2.83
POL1,Ekstraklasa,2014/2015,2014-08-09,19:30,Legia,Leczna,5,0,H,1.43,4.64,8.95,1.48,4.7,9.19,1.41,4.3,7.58
POL1,Ekstraklasa,2014/2015,2014-08-10,14:30,Lechia Gdansk,Lech Poznan,1,2,A,2.43,3.4,3.13,2.44,3.4,3.25,2.33,3.19,3.01
POL1,Ekstraklasa,2014/2015,2014-08-10,14:30,Zawisza,Podbeskidzie,1,2,A,2.15,3.39,3.76,2.25,3.39,3.76,2.16,3.2,3.33
POL1,Ekstraklasa,2014/2015,2014-08-10,17:00,Wisla,Ruch,2,2,D,1.68,3.85,5.86,1.8,3.9,5.86,1.69,3.54,5.05
POL1,Ekstraklasa,2014/2015,2014-08-11,17:00,Pogon Szczecin,Piast Gliwice,0,0,D,1.59,4.1,6.6,1.7,4.1,6.6,1.57,3.77,5.79
POL1,Ekstraklasa,2014/2015,2014-08-15,17:00,Korona Kielce,Gornik Z.,0,3,A,2.91,3.28,2.66,3.1,3.28,2.66,2.82,3.13,2.49
POL1,Ekstraklasa,2014/2015,2014-08-15,19:30,Jagiellonia,Legia,0,3,A,7.1,4.09,1.56,7.1,4.2,1.73,5.83,3.81,1.57
POL1,Ekstraklasa,2014/2015,2014-08-16,14:30,Leczna,Zawisza,5,2,H,2.67,3.09,3.06,2.67,3.25,3.06,2.5,3.08,2.85
POL1,Ekstraklasa,2014/2015,2014-08-16,17:00,Piast Gliwice,Ruch,0,1,A,3.21,3.28,2.44,3.21,3.28,2.6,2.93,3.12,2.41
POL1,Ekstraklasa,2014/2015,2014-08-16,19:30,Lech Poznan,Pogon Szczecin,1,1,D,1.75,3.86,5.18,1.83,3.89,5.18,1.73,3.55,4.71
POL1,Ekstraklasa,2014/2015,2014-08-17,14:30,Slask Wroclaw,Cracovia,0,0,D,1.99,3.43,4.23,1.99,3.45,4.4,1.91,3.33,3.96
POL1,Ekstraklasa,2014/2015,2014-08-17,17:00,Wisla,Lechia Gdansk,3,1,H,2.75,3.23,2.84,2.75,3.26,2.96,2.6,3.13,2.7
POL1,Ekstraklasa,2014/2015,2014-08-18,17:00,Podbeskidzie,GKS Belchatow,1,1,D,2.49,3.16,3.24,2.6,3.2,3.24,2.42,3.07,2.97
POL1,Ekstraklasa,2014/2015,2014-08-22,17:00,Zawisza,Lechia Gdansk,0,2,A,3.37,3.39,2.3,3.4,3.4,2.4,3.07,3.21,2.27
POL1,Ekstraklasa,2014/2015,2014-08-22,19:30,Pogon Szczecin,Wisla,0,3,A,2.36,3.31,3.34,2.38,3.4,3.45,2.22,3.19,3.2
POL1,Ekstraklasa,2014/2015,2014-08-23,14:30,Cracovia,Podbeskidzie,1,3,A,2.24,3.31,3.59,2.3,3.31,3.6,2.22,3.17,3.21
POL1,Ekstraklasa,2014/2015,2014-08-23,17:00,Gornik Z.,Leczna,2,0,H,2.1,3.41,3.91,2.17,3.52,5.14,1.91,3.32,4.03
POL1,Ekstraklasa,2014/2015,2014-08-23,19:30,Jagiellonia,Slask Wroclaw,1,3,A,2.56,3.3,3.02,2.8,3.32,3.02,2.5,3.15,2.78
POL1,Ekstraklasa,2014/2015,2014-08-24,14:30,Legia,Korona Kielce,2,0,H,1.45,4.64,8.03,1.5,5.6,12.0,1.43,4.24,7.41
POL1,Ekstraklasa,2014/2015,2014-08-24,17:00,Ruch,Lech Poznan,0,0,D,3.72,3.45,2.14,4.1,3.5,2.14,3.59,3.31,2.02
POL1,Ekstraklasa,2014/2015,2014-08-25,17:00,GKS Belchatow,Piast Gliwice,0,0,D,1.85,3.53,5.01,2.0,3.53,5.01,1.87,3.33,4.16
POL1,Ekstraklasa,2014/2015,2014-08-29,17:00,Piast Gliwice,Zawisza,3,0,H,2.68,3.28,2.9,2.8,3.3,3.1,2.5,3.13,2.81
POL1,Ekstraklasa,2014/2015,2014-08-29,19:30,Wisla,GKS Belchatow,1,0,H,1.97,3.54,4.24,2.03,3.54,4.69,1.88,3.34,4.09
POL1,Ekstraklasa,2014/2015,2014-08-30,14:30,Leczna,Pogon Szczecin,4,2,H,2.6,3.27,3.0,2.7,3.28,3.05,2.49,3.12,2.83
POL1,Ekstraklasa,2014/2015,2014-08-30,17:00,Slask Wroclaw,Gornik Z.,2,0,H,2.28,3.43,3.4,2.38,3.43,3.46,2.18,3.25,3.24
POL1,Ekstraklasa,2014/2015,2014-08-30,19:30,Korona Kielce,Jagiellonia,0,3,A,2.64,3.17,3.02,2.68,3.4,3.05,2.46,3.17,2.84
POL1,Ekstraklasa,2014/2015,2014-08-31,14:30,Lechia Gdansk,Ruch,3,3,D,1.58,4.04,6.95,1.6,4.15,6.98,1.54,3.81,6.13
POL1,Ekstraklasa,2014/2015,2014-08-31,14:30,Podbeskidzie,Legia,2,1,H,4.95,3.85,1.78,6.0,4.0,1.79,5.03,3.67,1.66
POL1,Ekstraklasa,2014/2015,2014-08-31,17:00,Lech Poznan,Cracovia,1,1,D,1.51,4.35,7.64,1.51,4.5,8.0,1.47,3.99,7.0
POL1,Ekstraklasa,2014/2015,2014-09-12,17:00,Zawisza,Wisla,2,4,A,3.06,3.29,2.53,3.3,3.7,2.53,2.93,3.27,2.36
POL1,Ekstraklasa,2014/2015,2014-09-12,19:30,Pogon Szczecin,Ruch,1,1,D,2.05,3.65,3.82,2.1,3.65,4.0,2.02,3.35,3.58
POL1,Ekstraklasa,2014/2015,2014-09-13,14:30,Cracovia,Leczna,2,1,H,2.44,3.32,3.19,2.44,3.32,3.4,2.35,3.18,3.0
POL1,Ekstraklasa,2014/2015,2014-09-13,17:00,Jagiellonia,Lech Poznan,1,0,H,3.7,3.43,2.15,3.85,3.5,2.2,3.47,3.29,2.08
POL1,Ekstraklasa,2014/2015,2014-09-13,19:30,Legia,Slask Wroclaw,4,3,H,1.44,4.69,8.44,1.59,5.0,9.5,1.4,4.36,7.78
POL1,Ekstraklasa,2014/2015,2014-09-14,14:30,Gornik Z.,Piast Gliwice,1,2,A,1.85,3.7,4.68,1.85,3.75,5.5,1.75,3.56,4.55
POL1,Ekstraklasa,2014/2015,2014-09-14,17:00,GKS Belchatow,Lechia Gdansk,1,1,D,2.95,3.19,2.68,2.95,3.25,2.86,2.77,3.1,2.56
POL1,Ekstraklasa,2014/2015,2014-09-15,17:00,Korona Kielce,Podbeskidzie,2,1,H,2.75,3.47,2.68,2.94,3.55,2.75,2.64,3.21,2.6
POL1,Ekstraklasa,2014/2015,2014-09-19,17:00,Slask Wroclaw,Korona Kielce,1,0,H,1.6,4.0,6.67,1.72,4.1,6.67,1.61,3.69,5.6
POL1,Ekstraklasa,2014/2015,2014-09-19,19:30,Lechia Gdansk,Pogon Szczecin,0,1,A,2.15,3.48,3.67,2.19,3.55,4.2,2.02,3.33,3.62
POL1,Ekstraklasa,2014/2015,2014-09-20,14:30,Piast Gliwice,Cracovia,4,2,H,2.5,3.12,3.28,2.5,3.3,3.5,2.31,3.12,3.14
POL1,Ekstraklasa,2014/2015,2014-09-20,17:00,Podbeskidzie,Gornik Z.,0,3,A,2.43,3.27,3.25,2.46,3.3,3.45,2.36,3.19,2.98
POL1,Ekstraklasa,2014/2015,2014-09-20,19:30,Lech Poznan,Zawisza,6,2,H,1.52,4.4,7.13,1.53,4.5,8.0,1.47,4.05,6.93
POL1,Ekstraklasa,2014/2015,2014-09-21,14:30,Ruch,GKS Belchatow,0,1,A,2.49,3.09,3.35,2.49,3.25,3.4,2.36,3.07,3.07
POL1,Ekstraklasa,2014/2015,2014-09-21,17:00,Wisla,Legia,0,3,A,2.93,3.26,2.65,3.3,3.35,2.65,2.88,3.17,2.42
POL1,Ekstraklasa,2014/2015,2014-09-22,17:00,Leczna,Jagiellonia,0,0,D,2.17,3.39,3.73,2.2,3.46,4.1,2.1,3.24,3.43
POL1,Ekstraklasa,2014/2015,2014-09-26,17:00,Korona Kielce,Piast Gliwice,1,0,H,2.44,3.2,3.3,2.44,3.3,3.5,2.28,3.15,3.18
POL1,Ekstraklasa,2014/2015,2014-09-26,19:30,Slask Wroclaw,Leczna,2,1,H,1.83,3.74,4.71,1.91,3.76,4.9,1.8,3.46,4.38
POL1,Ekstraklasa,2014/2015,2014-09-27,14:30,Zawisza,Ruch,1,1,D,2.49,3.17,3.23,2.64,3.4,3.24,2.4,3.14,2.97
POL1,Ekstraklasa,2014/2015,2014-09-27,17:00,GKS Belchatow,Pogon Szczecin,1,0,H,2.51,3.13,3.25,2.62,3.25,3.3,2.46,3.11,2.92
POL1,Ekstraklasa,2014/2015,2014-09-27,19:30,Legia,Lech Poznan,2,2,D,1.75,3.91,5.01,1.77,3.92,5.7,1.67,3.67,5.0
POL1,Ekstraklasa,2014/2015,2014-09-28,14:30,Gornik Z.,Lechia Gdansk,2,2,D,2.62,3.26,2.97,2.62,3.31,3.18,2.42,3.19,2.89
POL1,Ekstraklasa,2014/2015,2014-09-28,17:00,Cracovia,Wisla,1,0,H,3.68,3.34,2.2,3.68,3.4,2.4,3.26,3.22,2.19
POL1,Ekstraklasa,2014/2015,2014-09-29,17:00,Jagiellonia,Podbeskidzie,4,2,H,2.46,3.4,3.08,2.46,3.4,3.3,2.31,3.21,3.05
POL1,Ekstraklasa,2014/2015,2014-10-03,17:00,Podbeskidzie,Slask Wroclaw,2,2,D,2.71,3.25,2.87,2.96,3.31,2.98,2.68,3.12,2.64
POL1,Ekstraklasa,2014/2015,2014-10-03,19:30,Wisla,Jagiellonia,0,2,A,1.72,3.84,5.42,1.86,3.84,5.5,1.73,3.58,4.67
POL1,Ekstraklasa,2014/2015,2014-10-04,14:30,Leczna,Korona Kielce,1,0,H,2.0,3.51,4.15,2.15,3.7,4.38,1.96,3.33,3.83
POL1,Ekstraklasa,2014/2015,2014-10-04,17:00,Lechia Gdansk,Cracovia,1,0,H,1.71,3.83,5.54,1.8,3.83,5.54,1.71,3.55,4.85
POL1,Ekstraklasa,2014/2015,2014-10-04,19:30,Ruch,Gornik Z.,1,2,A,2.67,3.22,2.95,2.67,3.29,3.12,2.5,3.12,2.84
POL1,Ekstraklasa,2014/2015,2014-10-05,14:30,Piast Gliwice,Legia,3,1,H,5.23,3.86,1.74,5.25,3.86,1.85,4.79,3.55,1.71
POL1,Ekstraklasa,2014/2015,2014-10-05,14:30,Pogon Szczecin,Zawisza,3,0,H,1.78,3.83,4.97,1.85,3.83,5.25,1.76,3.51,4.56
POL1,Ekstraklasa,2014/2015,2014-10-05,17:00,Lech Poznan,GKS Belchatow,5,0,H,1.63,3.81,6.78,1.67,3.9,6.78,1.61,3.58,5.85
POL1,Ekstraklasa,2014/2015,2014-10-17,17:00,Cracovia,Ruch,1,0,H,2.18,3.34,3.74,2.3,3.45,3.8,2.15,3.22,3.33
POL1,Ekstraklasa,2014/2015,2014-10-17,19:30,Legia,Lechia Gdansk,1,0,H,1.54,4.51,6.43,1.61,4.9,6.43,1.55,3.98,5.76
POL1,Ekstraklasa,2014/2015,2014-10-18,14:30,Podbeskidzie,Leczna,1,0,H,2.57,3.23,3.07,2.64,3.35,3.85,2.35,3.16,3.03
POL1,Ekstraklasa,2014/2015,2014-10-18,14:30,Slask Wroclaw,Piast Gliwice,3,0,H,1.64,3.91,6.31,1.8,3.96,6.31,1.64,3.69,5.27
POL1,Ekstraklasa,2014/2015,2014-10-18,17:00,Jagiellonia,Pogon Szczecin,5,0,H,2.31,3.48,3.28,2.42,3.48,3.28,2.31,3.26,3.01
POL1,Ekstraklasa,2014/2015,2014-10-19,14:30,Korona Kielce,Lech Poznan,2,2,D,5.65,3.62,1.75,6.0,3.7,1.83,5.07,3.51,1.69
POL1,Ekstraklasa,2014/2015,2014-10-19,17:00,Gornik Z.,Wisla,0,5,A,2.62,3.19,3.03,2.72,3.4,3.04,2.46,3.15,2.86
POL1,Ekstraklasa,2014/2015,2014-10-20,17:00,Zawisza,GKS Belchatow,2,1,H,2.43,3.19,3.34,2.5,3.3,3.34,2.35,3.11,3.07
POL1,Ekstraklasa,2014/2015,2014-10-24,17:00,GKS Belchatow,Gornik Z.,1,0,H,2.48,3.13,3.33,2.52,3.2,3.33,2.36,3.1,3.07
POL1,Ekstraklasa,2014/2015,2014-10-24,19:30,Wisla,Podbeskidzie,3,2,H,1.81,3.74,4.86,1.82,4.0,5.0,1.72,3.65,4.61
POL1,Ekstraklasa,2014/2015,2014-10-25,14:30,Lechia Gdansk,Slask Wroclaw,1,4,A,2.17,3.27,3.87,2.38,3.5,3.87,2.14,3.28,3.35
POL1,Ekstraklasa,2014/2015,2014-10-25,14:30,Piast Gliwice,Jagiellonia,0,2,A,3.18,3.23,2.49,3.18,3.35,2.66,2.91,3.19,2.4
POL1,Ekstraklasa,2014/2015,2014-10-25,17:00,Pogon Szczecin,Cracovia,2,1,H,2.08,3.31,4.12,2.17,3.5,4.12,2.04,3.27,3.62
POL1,Ekstraklasa,2014/2015,2014-10-26,14:30,Lech Poznan,Leczna,1,0,H,1.52,4.47,7.07,1.52,4.5,8.5,1.46,4.13,6.94
POL1,Ekstraklasa,2014/2015,2014-10-26,17:00,Zawisza,Legia,1,2,A,5.81,4.19,1.63,5.81,4.33,1.73,5.22,3.85,1.61
POL1,Ekstraklasa,2014/2015,2014-10-27,17:00,Ruch,Korona Kielce,0,1,A,2.18,3.2,3.94,2.25,3.4,3.95,2.09,3.14,3.65
POL1,Ekstraklasa,2014/2015,2014-10-31,17:00,Leczna,Lechia Gdansk,1,1,D,2.48,3.17,3.28,2.65,3.25,3.28,2.47,3.11,2.88
POL1,Ekstraklasa,2014/2015,2014-10-31,19:30,Korona Kielce,Wisla,3,2,H,3.17,3.28,2.47,3.44,3.4,2.47,3.15,3.18,2.27
POL1,Ekstraklasa,2014/2015,2014-11-02,12:00,Gornik Z.,Pogon Szczecin,1,1,D,2.31,3.41,3.33,2.38,3.41,3.5,2.26,3.16,3.18
POL1,Ekstraklasa,2014/2015,2014-11-02,14:30,Cracovia,Zawisza,1,0,H,2.16,3.51,3.6,2.19,3.51,3.85,2.08,3.31,3.44
POL1,Ekstraklasa,2014/2015,2014-11-02,14:30,Slask Wroclaw,Lech Poznan,1,1,D,3.18,3.29,2.45,3.18,3.35,2.85,2.82,3.17,2.49
POL1,Ekstraklasa,2014/2015,2014-11-02,17:00,Legia,Ruch,2,1,H,1.57,4.06,7.05,1.6,4.5,10.0,1.52,3.97,6.35
POL1,Ekstraklasa,2014/2015,2014-11-03,17:00,Podbeskidzie,Piast Gliwice,2,4,A,2.08,3.59,3.78,2.28,3.59,3.8,2.08,3.34,3.43
POL1,Ekstraklasa,2014/2015,2014-11-03,19:30,Jagiellonia,GKS Belchatow,0,1,A,1.93,3.65,4.26,2.04,3.65,4.3,1.92,3.35,3.9
POL1,Ekstraklasa,2014/2015,2014-11-07,17:00,Piast Gliwice,Leczna,0,0,D,2.55,3.26,3.06,2.6,3.35,3.1,2.42,3.19,2.9
POL1,Ekstraklasa,2014/2015,2014-11-07,19:30,Lech Poznan,Podbeskidzie,1,1,D,1.43,4.74,8.66,1.5,4.9,8.75,1.41,4.38,7.39
POL1,Ekstraklasa,2014/2015,2014-11-08,14:30,Lechia Gdansk,Korona Kielce,1,2,A,1.71,3.8,5.66,1.75,3.8,5.7,1.69,3.56,4.99
POL1,Ekstraklasa,2014/2015,2014-11-08,17:00,GKS Belchatow,Cracovia,1,1,D,2.23,3.18,3.81,2.3,3.4,4.15,2.14,3.11,3.56
POL1,Ekstraklasa,2014/2015,2014-11-08,19:30,Wisla,Slask Wroclaw,1,1,D,2.47,3.39,3.07,2.78,3.45,3.1,2.39,3.26,2.88
POL1,Ekstraklasa,2014/2015,2014-11-09,14:30,Ruch,Jagiellonia,5,2,H,2.49,3.24,3.17,2.75,3.25,3.17,2.45,3.14,2.89
