Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2018/2019,20/07/2018,17:00,Legnica,Pogon Szczecin,1,0,H,2.74,3.36,2.7,2.8,3.36,2.78,2.65,3.2,2.64
Poland,Ekstraklasa,2018/2019,20/07/2018,19:30,Jagiellonia,Lechia Gdansk,0,1,A,1.77,3.87,4.75,1.86,3.94,5.25,1.74,3.66,4.55
Poland,Ekstraklasa,2018/2019,21/07/2018,14:30,Slask Wroclaw,Cracovia,3,1,H,2.5,3.28,3.05,2.52,3.4,3.1,2.4,3.22,2.93
Poland,Ekstraklasa,2018/2019,21/07/2018,17:00,Wisla,Arka Gdynia,0,0,D,2.42,3.29,3.17,2.5,3.4,3.17,2.33,3.21,3.05
Poland,Ekstraklasa,2018/2019,21/07/2018,19:30,Legia,Zaglebie,1,3,A,1.78,3.7,5.04,1.79,3.75,5.3,1.73,3.59,4.75
Poland,Ekstraklasa,2018/2019,22/07/2018,14:30,Gornik Z.,Korona Kielce,1,1,D,3.25,3.48,2.28,3.25,3.48,2.6,2.93,3.25,2.39
Poland,Ekstraklasa,2018/2019,22/07/2018,17:00,Wisla Plock,Lech Poznan,1,2,A,2.92,3.37,2.54,2.94,3.4,2.57,2.85,3.23,2.45
Poland,Ekstraklasa,2018/2019,23/07/2018,17:00,Zaglebie Sosnowiec,Piast Gliwice,1,2,A,2.87,3.28,2.63,2.93,3.3,2.8,2.72,3.14,2.63
Poland,Ekstraklasa,2018/2019,27/07/2018,17:00,Lechia Gdansk,Slask Wroclaw,1,1,D,2.22,3.36,3.5,2.26,3.6,3.72,2.14,3.37,3.3
Poland,Ekstraklasa,2018/2019,27/07/2018,19:30,Wisla,Legnica,2,1,H,2.33,3.39,3.25,2.33,3.39,3.36,2.26,3.2,3.18
Poland,Ekstraklasa,2018/2019,28/07/2018,17:00,Zaglebie,Zaglebie Sosnowiec,2,1,H,1.64,3.94,5.89,1.68,4.0,5.89,1.62,3.79,5.36
Poland,Ekstraklasa,2018/2019,28/07/2018,19:30,Korona Kielce,Legia,1,2,A,2.93,3.53,2.45,2.98,3.54,2.65,2.84,3.36,2.39
Poland,Ekstraklasa,2018/2019,29/07/2018,14:30,Gornik Z.,Wisla Plock,1,1,D,3.4,3.58,2.18,3.52,3.66,2.3,3.2,3.35,2.19
Poland,Ekstraklasa,2018/2019,29/07/2018,17:00,Arka Gdynia,Jagiellonia,0,2,A,2.98,3.36,2.5,3.0,3.4,2.71,2.83,3.22,2.48
Poland,Ekstraklasa,2018/2019,29/07/2018,17:00,Lech Poznan,Cracovia,2,0,H,1.53,4.42,6.43,1.64,4.64,6.51,1.53,4.08,6.03
Poland,Ekstraklasa,2018/2019,30/07/2018,17:00,Pogon Szczecin,Piast Gliwice,0,2,A,2.19,3.34,3.62,2.23,3.34,3.67,2.14,3.26,3.42
Poland,Ekstraklasa,2018/2019,03/08/2018,17:00,Wisla Plock,Korona Kielce,1,2,A,2.02,3.46,4.03,2.06,3.52,4.05,1.97,3.43,3.74
